cultivo,plaga_enfermedad,comarca_nombre,comarca_zona,comarca_zona_id,fecha_aviso,nivel_aviso
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-05-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-05-07,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-05-07,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-05-07,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-04-30,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-04-30,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-04-30,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-04-23,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-04-23,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-04-23,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-04-09,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-04-09,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-04-09,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-04-01,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-04-01,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-04-01,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2014-03-10,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2014-03-10,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2014-03-10,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2013-07-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2013-07-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2013-07-24,BAJO
